Hattrick Cafe & Restaurant, 3.8 stars 173 Reviews, Jobeda Kuthir 2 |  1st Floor |  Nayasarak Road |  Opposite Side Of Maha
Sizzler, 3.8 stars 93 Reviews, 3rd Floor |  Arcadia Shopping Mall |  Darshan Dewri
Grand Buffet Restaurant and Banquet Hall, 3.7 stars 358 Reviews, VVW9+W8C |  Hazrat Shahjalal Rd
lazzat Restaurant and party centre, 4.0 stars 109 Reviews, WV4J+FQG
Kacchi Square, 4.4 stars 102 Reviews, Dhopadighir Uttarpar
Madchef Sylhet, 4.2 stars 402 Reviews, Ritz Tower |  Hazrat Shahjalal Rd
Jubayer Restaurants, 3.6 stars 46 Reviews, Bihongo |  28/A Kazitula Rd
Bombay Biriyani Restaurant, 3.8 stars 10 Reviews, Subidbazar Point |  Right by HelloKids School
Canvas Dine, 4.0 stars 100 Reviews, Nayasharak point Manikpir |  road
ANTALYA, 3.7 stars 234 Reviews, 15/A |  Matin Bhaban |  Bihongo |  Manik Pir Tila Rd |  Nayasarak
London Inn, 4.0 stars 30 Reviews, VVPM+G27 |  Shahjalal Upashahar Main Rd
WOOD FIRED, 4.3 stars 62 Reviews, VVWC+53X |  Kazi Asparagus Food Island |  East
Mashwi, 4.3 stars 70 Reviews, VVW9+8M3 |  tati para-3 |  the aided high school road
Cafe Shunno, 4.2 stars 186 Reviews, Sylhet - Sunamganj Hwy
La-mensa, 4.0 stars 207 Reviews, Manikpir Road
The Taco Bell Sylhet, 3.5 stars 25 Reviews, VVV9+XVJ |  Khoyrun Plaza
The Magician Restaurant, 3.8 stars 413 Reviews, Star Pacific Building |  Dargah Gate
Cafe ৩২০, 4.3 stars 27 Reviews, Hotel Polash Building |  1st Floor |  Airport Road |  Ambarkhana
The Appetit, 3.6 stars 165 Reviews, Mamun Villa |  47/A Nayasarak Rd
White Chili, 3.6 stars 18 Reviews, Taltola Rd
Casablanca Restaurant, 4.7 stars 6 Reviews, 144 Hawapara Rd
Swapnil Restaurant, 4.1 stars 138 Reviews, Modina Market |  Mahmud Complex
SEASONS Grand, 4.0 stars 107 Reviews, 3/3 |  block-E Shahjalal Upashahar Main Rd
Nobanno restaurant, 4.0 stars 366 Reviews, Bir-Bikrom Yamin Complex |  Kumarpara Rd
Tabaq, 3.3 stars 55 Reviews, VVRC+PF8
চিলি রেস্টুরেন্ট, 3.0 stars 5 Reviews, Opposite Of Thana Sylhet
Marvelous Restaurant, 4.2 stars 1 | 163 Reviews, Medical College Rd
The Coffee Club, 3.9 stars 14 Reviews, Kumarpara Rd
Modern Restaurant, 3.8 stars 458 Reviews, Jallarpar Rd
CAFE SARAA, 3.7 stars 118 Reviews, Haat Food Court |  3rd Floor of HAAT super mall |  Uposhohor Main Road
Jomidar Restaurant, 4.2 stars 37 Reviews, VVXF+FW8 |  Nayasarak Rd
Pizza Express, 4.2 stars 25 Reviews, WV29+V36 |  Dargah Gate
Uthan Restaurant, 4.1 stars 738 Reviews, Al Hammad Center |  Aided School Rd
Delhi Darbar |  HAAT, 4.0 stars 11 Reviews, 1st floor |  Al-Madani Tower
Coffee Express, 3.8 stars 60 Reviews, Nayarak Point (beside Kabab Karigor) |  Nayasarak Road
Gulistan Restaurant, 3.5 stars 51 Reviews, VVPJ+5GM
Foodlover, 4.0 stars 78 Reviews, 2nd floor |  Al-Amin Complex |  Manik Pir Road Sylhet 3100 BD
KFC Sylhet, 3.8 stars 57 Reviews, Point |  Jallarpar Rd
Sos Age (Secret Of Spices), 3.7 stars 205 Reviews, VVRC+4HG
Pizza Italia, 4.1 stars 17 Reviews, VVRC+PV6
President Restaurant, 4.3 stars 38 Reviews, Kajolshah Road Medinova Ground Floor |  98 Medical College Rd
Cafe Europeo, 3.6 stars 5 Reviews, Kashana-50 |  Nayasarak Rd
Q-Bistro, 3.8 stars 76 Reviews, Shop:04 |  Level:04 |  Ambarkhana Rd
সকাল সন্ধ্যা রেস্টুরেন্ট, 4.1 stars 7 Reviews, Railway station road
Dilkhush Restaurant, 4.1 stars 83 Reviews, Latif Center
Petuk Bari Restaurant, 3.3 stars 40 Reviews, Shubeccha 2 |  Unimart Building |  3rd Floor
Divine - Cafe & Dine, 4.0 stars 52 Reviews, VVWG+J76
Dhakaiya Fast Food, 4.1 stars 50 Reviews, WV49+539 |  Sylhet - Sunamganj Hwy
Dhaka Restaurant, 5.0 stars 5 Reviews, 2nd floor |  Joint Market |  3100 Sylhet - Sunamganj Hwy
The Steak Blast, 5.0 stars 3 Reviews, Shop no 6-9
Bao Sylhet, 4.9 stars 16 Reviews, VVP8+6HR
Amani Food House, 4.1 stars 25 Reviews, Rikabi Bazar Rd
The Fire Fly, 4.7 stars 3 Reviews, 29 Dorgah Moholla Rd
Mukta restaurant & snacks, 3.0 stars 3 Reviews, VVX6+8RP
