Bus name,Departure time,arrival time,price/seat
Dola Paribahan Ltd,12:20 PM,5:20 PM,৳ 650 | ৳ 600
Emad Paribahan(Pvt.)Ltd.,12:30 PM,7:00 PM,৳ 650
Ena Transport (Pvt) Ltd,12:30 PM,6:15 PM,৳ 650
Hanif Enterprise,12:30 PM,6:00 PM,৳ 700
Emad Paribahan(Pvt.)Ltd.,12:30 PM,8:30 PM,৳ 650
Emad Paribahan(Pvt.)Ltd.,12:30 PM,8:30 PM,৳ 650
Ena Transport (Pvt) Ltd,12:30 PM,6:15 PM,৳ 650
Hanif Enterprise,12:30 PM,6:00 PM,৳ 650
Tungipara Express,12:45 PM,6:00 PM,৳ 650
Emad Paribahan(Pvt.)Ltd.,12:45 PM,7:30 PM,৳ 750
Emad Paribahan(Pvt.)Ltd.,1:00 PM,9:00 PM,৳ 650
Ena Transport (Pvt) Ltd,1:00 PM,4:00 PM,৳ 650
SHOHAGH PARIBAHAN,1:10 PM,9:10 PM,৳ 900
Emad Paribahan(Pvt.)Ltd.,1:15 PM,8:00 PM,৳ 650
Tungipara Express,1:15 PM,4:55 PM,৳ 650
Tungipara Express,1:25 PM,6:25 PM,৳ 750
SHOHAGH PARIBAHAN,1:30 PM,9:30 PM,৳ 650
Tungipara Express,1:40 PM,7:00 PM,৳ 650
Tungipara Express,1:45 PM,4:55 PM,৳ 650
Emad Paribahan(Pvt.)Ltd.,1:45 PM,8:00 PM,৳ 650
Ena Transport (Pvt) Ltd,2:00 PM,7:00 PM,৳ 650
Tungipara Express,2:00 PM,10:00 PM,৳ 650
Emad Paribahan(Pvt.)Ltd.,2:00 PM,10:00 PM,৳ 650
SHOHAGH PARIBAHAN,2:05 PM,10:05 PM,৳ 1200
Hanif Enterprise,2:15 PM,9:00 PM,৳ 750
Emad Paribahan(Pvt.)Ltd.,2:30 PM,9:30 PM,৳ 650
Emad Paribahan(Pvt.)Ltd.,2:30 PM,8:30 PM,৳ 650
Emad Paribahan(Pvt.)Ltd.,2:30 PM,10:30 PM,৳ 650
Ena Transport (Pvt) Ltd,2:30 PM,7:00 PM,৳ 750
Tungipara Express,2:30 PM,4:55 PM,৳ 650
Emad Paribahan(Pvt.)Ltd.,2:40 PM,8:00 PM,৳ 750
Tungipara Express,2:45 PM,8:00 PM,৳ 650
Ena Transport (Pvt) Ltd,3:00 PM,8:00 PM,৳ 650
Emad Paribahan(Pvt.)Ltd.,3:00 PM,11:00 PM,৳ 650
Tungipara Express,3:00 PM,2:00 PM,৳ 650
Tungipara Express,3:05 PM,9:10 PM,৳ 800
SHOHAGH PARIBAHAN,3:15 PM,11:15 PM,৳ 650
Ena Transport (Pvt) Ltd,3:15 PM,4:00 AM,৳ 800
Emad Paribahan(Pvt.)Ltd.,3:15 PM,9:00 PM,৳ 650
Tungipara Express,3:15 PM,4:55 PM,৳ 650
Ena Transport (Pvt) Ltd,3:15 PM,9:00 AM,৳ 650
Dola Paribahan Ltd,3:30 PM,8:30 PM,৳ 650 | ৳ 600
Tungipara Express,3:40 PM,10:00 PM,৳ 650
Tungipara Express,3:40 PM,8:25 PM,৳ 650
Hanif Enterprise,3:45 PM,9:00 PM,৳ 750
Emad Paribahan(Pvt.)Ltd.,3:50 PM,10:00 PM,৳ 650
Tungipara Express,4:00 PM,9:15 PM,৳ 800
Emad Paribahan(Pvt.)Ltd.,4:00 PM,12:00 AM,৳ 650
Ena Transport (Pvt) Ltd,4:00 PM,9:00 PM,৳ 650
SHOHAGH PARIBAHAN,4:05 PM,12:05 AM,৳ 1200
Tungipara Express,4:15 PM,9:00 PM,৳ 650
Emad Paribahan(Pvt.)Ltd.,4:30 PM,10:30 PM,৳ 650
Ena Transport (Pvt) Ltd,4:30 PM,11:30 PM,৳ 650
Tungipara Express,4:40 PM,10:00 PM,৳ 650
Tungipara Express,4:45 PM,9:45 PM,৳ 750
SHOHAGH PARIBAHAN,4:55 PM,12:55 AM,৳ 650
Emad Paribahan(Pvt.)Ltd.,5:00 PM,1:00 AM,৳ 650
Hanif Enterprise,5:00 PM,10:30 PM,৳ 650
Hanif Enterprise,5:00 PM,10:30 PM,৳ 700
Emad Paribahan(Pvt.)Ltd.,5:15 PM,11:00 PM,৳ 650
Tungipara Express,5:15 PM,9:00 PM,৳ 650
Dola Paribahan Ltd,5:30 PM,10:30 PM,৳ 650 | ৳ 600
Ena Transport (Pvt) Ltd,5:30 PM,10:00 PM,৳ 650
Emad Paribahan(Pvt.)Ltd.,5:30 PM,1:30 AM,৳ 650
Emad Paribahan(Pvt.)Ltd.,5:30 PM,3:25 AM,৳ 650
Tungipara Express,5:35 PM,10:00 PM,৳ 650
Emad Paribahan(Pvt.)Ltd.,5:45 PM,11:20 PM,৳ 650
