Hotel name,Currency,Price,Properties
Hotel Bonolota Intrrnational,USD,8,This property offers: | Parking | Free WiFi
Hotel Star International,USD,29,This property offers: | Breakfast | Parking | Free WiFi
Grand River View Hotel - Rajshahi,USD,67,This property offers: | Breakfast | Parking | +2
Hotel Sukarna International,USD,27,This property offers: | Free parking | Washer | +2
Asma-ul-husna apartment,USD,45,This property offers: | Parking
Hotel X Rajshahi,USD,47,This property offers: | Breakfast | Parking | +2
Royal Raj Hotel,USD,35,This property offers: | Free parking
