Zealot Food Park, 3.8 stars 62 Reviews, 9JC3+Q99
হাজী সুইটস অ্যান্ড রেস্টুরেন্ট, 4.8 stars 4 Reviews, Ranibazar |  Station Rd
Khadok, 3.9 stars 14 Reviews, 9JF6+RFG |  Shiroil Station Road
The Mahal Restaurant, 3.9 stars 561 Reviews, Greater Road |  C and B mor | Rajshahi city
Fuchka village, 4.0 stars 27 Reviews, 9HGQ+8CP
Moron Chand Mistanno Vandar |  Rajshahi, 3.6 stars 10 Reviews, 9H9R+Q4H |  Medical College Road |  Ghoshpara Mor |  Hatemkha
Biren Restora, 4.2 stars 140 Reviews, 9J84+7MV
Ghoroni Ice cream Fast food & Coffee, 4.2 stars 57 Reviews, Ct Station Rd
Waiter's, 3.8 stars 12 Reviews, 227/1 |  New Market Road
Mouchak Hotel, 4.5 stars 15 Reviews, 26-27 |  Gonokpara
Rainey Park Theme Park Restaurant, 3.9 stars 588 Reviews, 9H9J+FG7 |  Rajshahi city |  Post Code
Rajshahi Medical College Canteen, 4.0 stars 162 Reviews, 9H8W+8XQ
Taj Hotel And Restaurant, 3.5 stars 121 Reviews, 9H9J+GG3 6000 |  Greater Rd |  C&B mor
Palki Restaurant - Rajshahi, 3.8 stars 24 Reviews, 9J73+P64 |  Sarkar Tower |  Kumarpara Rajshahi
Refreshment Restaurant(বাংলা & কাবাব), 4.0 stars 19 Reviews, 33 Circuit House Rd
The Corridor Cafe, 3.9 stars 87 Reviews, Upashahar |  upashahar |  Newmarket road
Sajna Restaurant, 3.5 stars 40 Reviews, 9JF2+626
Cookie Jar Convention Center, 3.9 stars 323 Reviews, 1st Floor |  Mubarak Tower New Market Road |  Ranibazar Rd
Salim Hotel And Restaurent, 3.9 stars 83 Reviews, 9H79+6FC
Cookie Jar Restaurant & Convention Centre, 3.7 stars 7 Reviews, 9H8W+XWX |  City College Mor |  Hetemkha |  6000
Nuxa, 3.7 stars 393 Reviews, 9JC3+W4W new market
ওয়াহেদ মিষ্টি ঘর, 5.0 stars 1 Reviews, 9HHM+56H |  Rajshahi City Bypass
Kalai House -2, 4.0 stars 1 | 625 Reviews, 9J82+H6M
Weebs, 4.8 stars 6 Reviews, 9HFX+RRX
Colonials' Canopy, 4.7 stars 179 Reviews, 9H8X+J63
Pipra Apyayan and Convention Centre, 3.9 stars 15 Reviews, 9JC3+H5G |  Rajshahi New Mkt Rd
Bachelor Point Food Corner, 5.0 stars 26 Reviews, Market |  Shah Mukdum College |  Zero point |  Saheb Bazar Rd
Foodify, 4.6 stars 9 Reviews, 9H7V+J2H
সামাদ কালাই হাউজ, 4.4 stars 8 Reviews, 9JF2+535
Hasib's Dine, 3.6 stars 69 Reviews, Rajshahi Sohid Kamruzzaman Stadium |  Terokhadia
Gonokpara Puri Shop, 5.0 stars 1 Reviews, 9J92+FVW
Shah Dine chinese restaurant, 4.3 stars 9 Reviews, 9JF2+5QV |  Theme Omor Plaza
Oshania Restaurant & Biriyani House, 3.2 stars 11 Reviews, 9H8X+FX3
RED DOUGH | Rajshahi, 4.8 stars 8 Reviews, 9J82+25W |  Shaheb Bazar Rd
BiddutBill, 5.0 stars 2 Reviews, 2 |  3rd Floor |  Shahidullah Tower |  Ranibazar Rd
Karai Curry Rajshahi, 4.2 stars 6 Reviews, 9J93+X44 |  Rajshahi New Mkt Rd
Bismillah Kalai House, 4.3 stars 6 Reviews, 9JF3+J73 |  Station Rd
Crispy Kitchen (ক্রিস্পি কিচেন), 3.5 stars 31 Reviews, 9J82+6FH
EFC-FOOD FUN, 4.4 stars 12 Reviews, 9H7V+7H8 Aqua Wonder Rajshahi
Cafe Yummy, 3.6 stars 18 Reviews, 9J82+48R |  Saheb Bazar Rd
Rainbow Food Cafe, 2.5 stars 4 Reviews, 7th floor | Them Omar Plaza | Newmarket
Ahaar Bangla Khabar Dokan, 3.9 stars 22 Reviews, 9JF5+P6F |  Ground Floor |  Shiroil Godhuli Market |  Beside Rajshahi Railway Station Bir Sreshtho Sheheed Captain Mohiuddin Jahangir Sarani Station Road Siroil Bus Terminal |  Dhaka Bus Terminal
Food Ocean Restaurant, 3.9 stars 7 Reviews, Haragram New Market |  23/24  |  1st Floor
Retro Station, 5.0 stars 4 Reviews, srirampur |  front of t badh |  Pipra Aprayon & convention center Rajshahi |  Bangladesh
Cafe 71, 3.6 stars 18 Reviews, 9JF2+H3G North Side of Sundial Coaching Center
Bindu Hotel And Restaurant, 3.8 stars 900 Reviews, 9HF7+97C Advocate Bar
Ohona Restaurant, 4.0 stars 3 Reviews, Beldarpara
Abdullah Food Corner, 4.2 stars 5 Reviews, 9JF2+5RG
Rishi Chop Corner, 5.0 stars 2 Reviews, 88 |  Zodiac Palace (Basement) |  Zero Point Saheb Bazar |  Shaheb Bazar Rd
Master chef pastry and fast food, 4.4 stars 27 Reviews, 9JG5+8WF
