Hotel name,Currency,price,Properties
Jashore IT Park Hotel and Resort,USD,23,This property offers: | Breakfast | Parking | Express check-in
Hotel Orion International,USD,45,This property offers: | Breakfast | Parking | Free WiFi
The Zabeer Jashore,USD,52,This property offers: | Breakfast | Parking | Free WiFi
ChitraResort,USD,51,This property offers: | Breakfast | Parking | Free WiFi
Divine Center,USD,64,This property offers: | Breakfast
