hotel name,currency,price,properties
Restinn Hotel,USD,20,This property offers: | Breakfast | Parking | Free WiFi
Green Leaf Guest House,USD,12,This property offers: | Parking | Free WiFi
Green Leaf Guest House ColIege Road Sreemongal,USD,11,This property offers: | Parking | Free WiFi
HOTEL MOHSIN PLAZA,USD,19,This property offers: | Breakfast | Free WiFi
Balishira Resort Ltd.,USD,60,This property offers: | Breakfast | Parking
Lemon Garden Resort & Spa,USD,32,This property offers: | Breakfast | Parking | Free WiFi
Jungle cottage,USD,19,This property offers: | Parking | Express check-in | Free WiFi
