Hotel_name,Currency,Price,Hotel_properties
Hotel Kingfisher - Barishal,USD,30,This property offers: | Breakfast | Parking | Free WiFi
Hotel Grand Park Barishal,USD,48,This property offers: | Breakfast | Parking | +2
