Appetito, 4.1 stars 244 Reviews, Opposite MES College 1715 |  Zakir Hossain Rd
ক্যাপসিকাম এরাবিয়ান হাউজ, 3.8 stars 706 Reviews, College Rd
Chittagong Dine - চিটাগাং ডাইন, 3.9 stars 67 Reviews, 486/B |  O.R. Nizam Rd
Flamingo Cafe, 3.9 stars 43 Reviews, 787/863 M M |  Mohammed Ali Rd
The Eatalia |  chittagong, 4.0 stars 375 Reviews, 67 Jamal Khan Rd
Grand Shikdar Restaurant, 3.8 stars 947 Reviews, Sattar Chamber 99 Agrabad |  C/A Commerce College Road
Silver Spoon, 4.1 stars 2 | 670 Reviews, Road # 01 |  Plot # 02 |  O.R. Nizam Road |  GEC |  4000  |  Bangladesh |  Plot # 2 |  Road No. 1
Mohora Restaurant, 4.0 stars 50 Reviews, 6th Floor |  Innovative Bhuiyan Orchid |  1025/A Bayazid Bostami Rd
KRAVE, 4.3 stars 716 Reviews, 74 Station Rd
Bangaliana Restora & Yummy Foods, 3.9 stars 813 Reviews, Maritime Museum |  Naval Ave
Maritime Museum Cafe & Gift Shop, 4.1 stars 1 | 012 Reviews, 24 Naval Avenue |  C.R.B. Rd
Friolento Restaurant & Cafe, 4.1 stars 655 Reviews, 9R7F+QVX |  2885 Bayazid Bostami Rd
White Rabbit, 4.1 stars 1 | 096 Reviews, 1025/A |  Innovative Bhuiyan Orchid
Segafredo Espresso Chittagong, 4.3 stars 1 | 193 Reviews, Finlay House |  Ground Floor |  Ooposite CGO Building 11 |  Agrabad C/A
The Village Restaurant, 4.1 stars 1 | 268 Reviews, CPDL Khan Manor
Eden Restaurant & Kids Zone, 4.0 stars 242 Reviews, 1514 O.R. Nizam Rd
Red Snapper, 4.2 stars 169 Reviews, House # 12 |  2 Road No. 2
Korea Restaurant, 4.4 stars 82 Reviews, L-2) |  162 |  Impulse City Centre |  O.R. Nizam Rd
Takeout Gol Pahar Mor, 4.2 stars 190 Reviews, 154 CDA Ave
Foodmarket, 4.0 stars 403 Reviews, 5th Floor |  94 |  Eves Center |  Rd 03
The Lone Star Steakhouse Chittagong, 4.2 stars 145 Reviews, 50 Jubilee Rd
Green Valley Roof Top Restaurant, 4.6 stars 5 Reviews, 1839 CDA Ave
KFC Chittagong, 4.0 stars 3 | 946 Reviews, 22 No. Enayet Bazaar Ward |  M A Aziz Stadium Market |  Kajirdawri
Hunger Zone Restaurant, 3.8 stars 58 Reviews, 08 |  2nd Floor |  Chittagong Shopping Complex |  CDA Ave
Black Bee, 4.1 stars 16 Reviews, East Side 17 M.A Aziz Stadium
Saki Restaurant, 4.5 stars 30 Reviews, 89/309 |  Yakub Trade Center (Level 5 |  Bayazid Bostami Rd
Milano Express, 4.1 stars 1 | 247 Reviews, 3rd Floor |  SAF Amin Shopping Mall |  Food Court |  158 College Rd
Hurricane Cafe, 3.9 stars 119 Reviews, 9R2C+PPV |  Wasa Circle
Tai Wah Restaurant, 3.9 stars 205 Reviews, 65 Shahid Saifuddin Khaled Rd
SAYED KITCHEN Best home made food in Chittagong, 4.4 stars 8 Reviews, SHOP NO 87/88 |  Chittagong Shopping Complex
HALAL CHEF CAFE, 4.0 stars 28 Reviews, 13 CDA Ave
Lahams Kabab, 4.2 stars 574 Reviews, 1st Floor |  City Center |  449 Chatteshwari Rd
Two Spoons | Restaurant & Chocolate Cafe, 4.0 stars 192 Reviews, Muradpur Cir
Daily Mezzan Restaurant ডেইলি মেজ্জান রেস্টুরেন্ট, 4.0 stars 157 Reviews, 37/1 |  Mollika Bhaban S.S Khaled Road |  Kazir Dewri Cir
Kitchen Restaurant কিচেন রেস্টুরেন্টে |  কাজির দেউড়ি |  চট্টগ্রাম।, 3.7 stars 335 Reviews, 127 | opposite of press club (2nd floor) | chittagong
WaffleDose, 3.8 stars 18 Reviews, Shop No 413-415-416 |  Zakir Hossain Road |  Khulshi Residential Area South khulsi |  Khulsi Town Center
Gravy Dine Restaurant, 4.0 stars 69 Reviews, Late Zahur Ahmed Chowdhury Road |  Chatteshwari Rd
Ladhidh, 4.1 stars 159 Reviews, 24 MM ali road | dampara | chittagong |  near shilpakola and beside TMT(previous) restaurant
Afiyet Olsun, 4.2 stars 10 Reviews, Shop No:500-02 & 514 |  Finlay Square 5th Floor |  East Nasirabad |  2 No Gate |  Panchlaish
6Teen Cafe and Bistro, 3.7 stars 75 Reviews, Shop No-45 |  1st Floor |  M A Aziz Stadium |  In front of Mukto-Monch |  Kazir Dewri Cir
The Grand Taste Restaurant, 4.3 stars 3 Reviews, Opposite of Circuit Hous |  2nd Floor |  M A Aziz Stadium Market |  Kazir Dewri Circle
Taste Of Chittagong Restaurant, 4.0 stars 47 Reviews, 8RRP+WFX |  11 No. |  Momin Road |  Anderkilla |  Momin Rd
Meet & Eat, 3.9 stars 115 Reviews, 8RWF+C4P |  Naval Ave
Nowhere Restaurant, 3.8 stars 113 Reviews, 112 Kapasgola Rd
Arabian Darbar Restaurant, 4.4 stars 9 Reviews, 9R4P+CWP |  Aimon Center |  Opposite Keari |  Chawkbazar |  College Rd
Masala Twist Restaurant, 3.5 stars 673 Reviews, 8RWF+J5G
Little lobster, 4.1 stars 401 Reviews, Hossain Chamber |  105 Ground Floor
Like Restaurant, 3.7 stars 151 Reviews, Impulse City Center |  162 O.R. Nizam Rd
la ARISTOCRACY, 4.3 stars 295 Reviews, 9R8F+7CM
Burger's World, 4.2 stars 461 Reviews, 2nd Floor  |  805/D |  Goni Complex |  CDA Ave
Well Food, 3.5 stars 13 Reviews, Dampara 253 |  Muntasir Centre |  Opposite of Wasa office
Handi Indian Bistro, 3.5 stars 28 Reviews, 2nd floor |  VIP Tower |  125 Chatteshwari Rd
Kacchi Bhai - Chittagong, 4.3 stars 333 Reviews, 9R4C+PHV |  CDA Ave
Sam's, 3.8 stars 75 Reviews, 9R5F+JH7 |  O.R. Nizam Rd
Lobiyot লবিয়ত, 4.0 stars 111 Reviews, 84 Zakir Hossain Rd
Al Helal Hotel and Restaurent, 3.6 stars 461 Reviews, South Land Center |  125 Agrabad Access Rd
Al Baik-البيك Chittagong, 3.3 stars 69 Reviews, 6th Floor |  K.M. tower |  Agrabad C/A
7 Dayz Agrabad Branch, 4.0 stars 882 Reviews, CPDL |  Rahim's Plaza |  S Khulshi Rd
The Green Shadow Restaurant, 4.4 stars 241 Reviews, 8RVM+H92
Secret Recipe Khulshi CTG Standard, 4.2 stars 198 Reviews, 5th floor |  Buddhist Temple |  RF Police Plaza
Cheragi Restaurant, 3.8 stars 11 Reviews, Newaz Plaza |  350 Arkan Rd
The Kitchen Diary, 3.9 stars 272 Reviews, 3nd Floor |  Equity Antora |  123 Momin Rd
Grand Newaz Restaurant, 3.8 stars 175 Reviews, Puma Building
PizzaBurg Chittagong, 4.9 stars 5 | 159 Reviews, Rahman Plaza |  115 CDA Ave
Fry Guys, 3.8 stars 191 Reviews, 85 Muradpur Circle
Mezzan Haile Ayun - Chittagong, 4.1 stars 1 | 414 Reviews, 8RWG+94M |  M A Aziz Stadium Market | Kajirdawri
