Dhaka Hotel and Restaurant, 4.1 stars 1 | 508 Reviews, The Westin |  Main Gulshan Ave
Zaytun Restaurant, 3.9 stars 1 | 259 Reviews, House-48 |  Block-E |  Road-13/C
Cheong Shing Restaurant |  Dhaka., 4.2 stars 563 Reviews, 6/A |  Rangs FC 2 corner of Rd 32 and |  Gulshan Ave
Prego, 4.4 stars 167 Reviews, The Royal Paradise |  House 5 Rd No 74
Tajine- Nawabi Cuisine : Best Kacchi Biryani and Shahi Morog Polao Shop in Dhaka, 4.3 stars 562 Reviews, Bikalpa Tower |  74 | Satmosjid Road |  Rd No 5/A
Oro Dhaka, 4.4 stars 467 Reviews, Block D |  House 62 Rd 10
AL-LADAK Arabian Cuisine & Party Center, 4.6 stars 35 Reviews, 65 Gulshan Ave
Cafe Darbar Dhammondi, 4.1 stars 845 Reviews, 51 Siddheswari Rd
Ruen Busaba, 4.3 stars 250 Reviews, 104 Mirpur Rd
Hongbao, 4.5 stars 414 Reviews, House-2 Rd 21
Z’s Kitchen (Dhaka), 5.0 stars 6 Reviews, 60/D |  Road:131 | Gulshan-1 | Dhaka 1212 dhaka
Nandini Restaurant, 3.9 stars 32 Reviews, Anabil Tower (Level 19th) |  Plot #3 |  Block: NW (J |  Kemal Ataturk Ave
Khalifa’s restaurant, 4.2 stars 58 Reviews, RC76+696 |  House # 321/5  |  Road # 05
Hello Dhaka, 4.1 stars 187 Reviews, 1st floor |  House- 37 Rd 12
KIRIKO, 4.1 stars 72 Reviews, 114 |  Rupayan Trade Center |  18th Floor |  Rupayan Trade Center |  114 Kazi Nazrul Islam Ave |  72 Kazi Nazrul Islam Ave
CSD TESS Restaurant, 4.2 stars 218 Reviews, House No 32 |  Level- 2 |  Blok- G |  Road No. 11
Dhaka Metro Restaurant, 3.8 stars 715 Reviews, House: 175/A |  177 Gulshan North Ave |  Road: 61 Galito's
The Green Lounge, 4.3 stars 3 | 780 Reviews, 49 Satmasjid Road
ICHI, 4.0 stars 298 Reviews, 50 & 52 |  Pragati Avenue |  J Block |  Baridhara
Galito's, 4.2 stars 718 Reviews, QCV7+RFW |  Lane No 4
Cilantro, 4.1 stars 1 | 755 Reviews, House-100 Rd No. 11
The Atrium Restaurant, 4.0 stars 2 | 486 Reviews, 112 |  Paglar Pol |  West Nakhalpara
Crowne Plaza Dhaka Gulshan Crowne Plaza Dhaka Gulshan, 4.8 stars 10 Reviews, Le Méridien Dhaka 79/A Commercial Area Dhaka
Sushi Samurai, 4.0 stars 949 Reviews, House No.: 2 |  Road No. 22 & 23 |  Gulshan R/A
Dhaka Food, 4.3 stars 52 Reviews, 873 Outer Circular Rd
Latest Recipe, 4.6 stars 122 Reviews, House 48 Road No 13C
Lounge Comida, 4.4 stars 513 Reviews, 175 Gulshan North Ave
Circle lounge rooftop restaurant, 4.2 stars 12 Reviews, Block F |  52 |  1213 Rd No. 11
Pinewood Cafe + Kitchen, 4.3 stars 2 | 445 Reviews, House 9 Rd No 27
KHANA KHAZANA by Master Chef Sanjeev Kapoor, 3.8 stars 533 Reviews, Boro Moghbazar |  249
Terra Bistro (Banani), 4.0 stars 171 Reviews, Shapla Building |  south |  K E Block |  Main Rd
Attin Arabian Restaurant, 4.3 stars 286 Reviews, suvastu market |  32/5 Shajadpur oposed
Dhaka Kacchi Bhai। ঢাকা কাচ্চি ভাই, 3.5 stars 6 Reviews, House# 1/C |  1/D |  Road# 16
Dhaka foods & Restaurant, 3.8 stars 393 Reviews, Ka 42/6 |  Nadda | 1st Floor | Progati Sarani Bus Stand Dhaka
Waterfall Garden Cafe & Restaurant, 4.0 stars 273 Reviews, 1 Minto Rd
Breeze Restaurant, 4.3 stars 423 Reviews, 56-57 Dilkusha Rd
Magpie restaurant, 4.0 stars 231 Reviews, 74 |  Musa Menshion wireless gate |  Mohakhali (C/A) |  Dhaka
Elements Global Dining |  InterContinental Dhaka, 4.7 stars 565 Reviews, 2 24 |  Hamid Tower |  Gulshan Ave
Restaurants Dhaka, 4.6 stars 18 Reviews, 55 Rd No # 21
Nobabi Voj Restaurants, 4.0 stars 353 Reviews, Four Points by Sheraton Dhaka |  Gulshan 6/A North Avenue Commercial Area
Santoor Fusion Dining, 4.3 stars 16 Reviews, House 10 Rd 135
Burgwich TOWN Dhaka, 4.3 stars 183 Reviews, 72 Road No. 11
The Beast, 4.3 stars 26 Reviews, Level 3 |  Shop 20 |  SKS Tower
Dhaka Lunch, 4.7 stars 30 Reviews, H.No 31 |  Shamshuddin Mension |  Level 5 Opposite Four Point By sheraton
New Cathay, 3.9 stars 506 Reviews, Rob Bhaban. Plot 3 ( 4th floor)  |  Gulshan circle II
Secret Recipe Mohakhali SKS Tower Standard Outlet, 4.2 stars 157 Reviews, House#07(Ground Floor) | Kabi Faruk Sarani | Nikunja#2 |  07 Kobi Faruk Sarani
