hotel name,Currency,price,properties
Grand Palace Hotel & Resorts Rangpur,USD,53,This property offers: | Breakfast
Eque Heritage Hotel & Resort,USD,31,This property offers: | Breakfast | Parking | Free WiFi
SKS Inn,USD,63,This property offers: | Breakfast | Parking | +2
